,0
1612,165026
1613,165027
1614,165028
1615,165029
1616,165030
1617,165031
1618,165032
1619,165033
1620,165034
1621,165035
1622,165036
1623,165037
1624,165038
1625,165039
1626,165040
1627,165041
1628,165042
1629,165043
1630,165044
1631,165045
1632,165046
1633,165047
1634,165048
1635,165049
1636,165050
1637,165051
1638,355660
1639,355661
1640,355662
1641,355664
1642,355665
1643,355666
1644,355667
1645,355668
1646,355669
1647,355670
1648,355671
1649,355672
1650,355673
1651,355674
1652,355675
1653,355676
1654,355677
1655,355678
1656,355679
1657,355680
1658,355681
1659,355682
1660,355683
1661,355684
1662,355685
1663,355686
1664,355687
1665,355688
1666,355689
1667,355690
1668,355691
1669,355692
1670,355693
1671,355694
1672,355695
1673,355696
1674,355697
1675,355698
1676,355699
1677,355700
1678,464439
1679,464440
1680,464441
1681,464442
1682,464443
1683,464444
1684,464445
1685,464446
1686,285143
1687,285144
1688,285145
1689,285146
1690,285147
1691,285148
1692,285149
1693,285150
1694,285151
1695,285152
1696,285153
1697,285154
1698,285155
1699,285156
1700,285157
1701,342221
1702,342222
1703,433465
1704,433466
1705,363255
1706,363259
1707,363260
1708,189494
1709,189498
1710,51962
1711,51963
1712,453812
1713,453823
1714,506050
1715,506075
1716,133366
1717,133367
1718,573370
1719,573372
1720,573377
1721,573378
1722,573379
1723,573391
1724,573394
1725,573396
1726,573401
1727,573407
1728,573410
1729,573414
1730,573419
1731,573421
1732,573425
1733,573427
1734,573428
1735,573431
1736,573433
1737,573436
1738,573441
1739,573442
1740,573444
1741,573447
1742,573450
1743,573451
1744,573458
1745,573461
1746,573464
1747,573465
1748,573471
1749,573476
1750,573480
1751,573481
1752,573483
1753,573488
1754,573489
1755,573495
1756,573497
1757,667897
1758,667898
1759,667899
1760,667901
1761,667902
1762,667903
1763,667904
1764,667905
1765,667906
1766,667907
1767,667908
1768,667909
1769,667910
1770,667911
1771,667912
1772,667913
1773,667914
1774,667915
1775,667916
1776,667917
1777,667918
1778,667919
1779,667920
1780,667921
1781,667922
1782,667923
1783,667924
1784,667925
1785,667926
1786,667927
1787,667928
1788,667929
1789,667930
1790,667931
1791,667932
1792,667933
1793,667934
1794,667935
1795,667936
1796,667937
1797,667938
1798,667939
1799,667940
1800,667941
1801,667942
1802,667943
1803,667944
1804,667945
1805,667946
1806,667947
1807,667948
1808,667949
1809,667950
1810,658443
1811,658454
1812,134371
1813,134385
1814,134402
1815,134413
1816,475374
1817,475377
1818,271576
1819,271577
1820,138071
1821,138081
1822,357897
1823,357901
1824,521469
1825,521471
1826,706065
1827,706084
1828,418036
1829,418037
1830,418038
1831,418039
1832,418040
1833,418041
1834,418042
1835,418043
1836,418044
1837,418045
1838,418046
1839,418047
1840,418048
1841,418049
1842,418050
1843,418051
1844,418052
1845,418053
1846,418054
1847,418055
1848,418056
1849,418057
1850,418058
1851,418059
1852,418060
1853,418061
1854,418062
1855,418063
1856,418064
1857,418065
1858,418066
1859,418067
1860,418068
1861,418069
1862,418070
1863,418071
1864,418072
1865,418073
1866,418074
1867,418075
1868,418076
1869,418077
1870,418078
1871,418079
1872,418080
1873,418081
1874,418082
1875,418083
1876,418084
1877,418085
1878,418086
1879,418087
1880,418088
1881,418089
1882,418090
1883,418091
1884,357436
1885,357437
1886,479487
1887,479489
1888,313165
1889,313167
1890,228568
1891,228569
1892,228570
1893,228571
1894,228572
1895,288236
1896,288240
1897,410775
1898,410777
1899,410778
1900,410779
1901,410780
1902,410781
1903,410782
1904,410783
1905,410784
1906,410785
1907,410786
1908,410787
1909,410788
1910,410789
1911,249664
1912,249665
1913,249666
1914,249668
1915,249669
1916,249670
1917,249671
1918,249672
1919,249673
1920,249674
1921,249675
1922,249676
1923,249677
1924,249678
1925,249679
1926,249680
1927,249681
1928,249682
1929,249683
1930,249684
1931,249685
1932,249686
1933,249687
1934,249688
1935,249689
1936,249690
1937,249691
1938,249692
1939,249693
1940,249694
1941,249695
1942,249696
1943,249697
1944,249698
1945,249699
1946,249700
1947,249701
1948,249702
1949,249703
1950,249704
1951,249705
1952,249706
1953,249707
1954,249708
1955,249709
1956,249710
1957,249711
1958,249712
1959,249713
1960,249714
1961,249715
1962,249716
1963,249717
1964,249718
1965,249719
1966,249720
1967,249721
1968,249722
1969,249723
1970,249724
1971,249725
1972,249726
1973,249727
1974,249728
1975,249729
1976,249730
1977,249731
1978,249732
1979,249733
1980,249734
1981,249735
1982,262820
1983,262821
1984,459897
1985,459898
1986,459899
1987,459900
1988,459901
1989,459902
1990,565795
1991,565796
1992,565797
1993,565798
1994,565799
1995,565800
1996,565801
1997,565802
1998,565803
1999,565804
2000,565805
2001,565806
2002,565807
2003,565808
2004,565809
2005,565810
2006,565811
2007,565812
2008,565813
2009,565814
2010,565815
2011,565816
2012,281875
2013,281876
2014,281878
2015,281879
2016,281880
2017,281881
2018,281882
2019,281883
2020,281884
2021,281885
2022,281886
2023,281887
2024,281888
2025,281889
2026,281890
2027,281891
2028,281892
2029,281893
2030,281894
2031,281895
2032,281896
2033,281897
2034,281898
2035,281899
2036,281900
2037,281901
2038,281902
2039,281903
2040,281904
2041,281905
2042,281906
2043,281907
2044,281908
2045,281909
2046,281910
2047,281911
2048,281912
2049,281913
2050,281914
2051,281915
2052,281916
2053,281917
2054,281918
2055,281919
2056,281920
2057,281921
2058,281922
2059,281923
2060,281924
2061,281925
2062,281926
2063,281927
2064,281928
2065,281929
2066,281930
2067,281931
2068,281932
2069,281933
2070,281934
2071,281935
2072,281936
2073,281937
2074,281938
2075,281939
2076,281940
2077,281941
2078,281942
2079,281943
2080,281944
2081,281945
2082,281946
2083,281947
2084,281948
2085,281949
2086,281950
2087,281951
2088,281952
2089,281953
2090,281954
2091,281955
2092,281956
2093,281957
2094,281958
2095,281959
2096,281960
2097,281961
2098,281962
2099,281963
2100,281964
2101,281965
2102,281966
2103,648719
2104,648720
2105,497414
2106,497415
2107,497419
2108,572423
2109,572424
2110,658467
2111,658468
2112,658469
2113,658470
2114,658471
2115,658472
2116,658473
2117,658475
2118,280075
2119,280076
2120,645533
2121,645534
2122,645535
2123,107585
2124,107589
2125,40433
2126,40435
2127,588464
2128,588465
2129,130171
2130,130172
2131,130175
2132,130176
2133,130177
2134,130178
2135,130179
2136,130180
2137,130181
2138,130182
2139,130183
2140,130184
2141,130185
2142,130186
2143,130187
2144,130188
2145,130189
2146,130190
2147,130191
2148,130192
2149,130193
2150,130194
2151,130195
2152,130196
2153,130197
2154,130198
2155,130199
2156,130200
2157,130201
2158,130202
2159,130203
2160,130204
2161,130205
2162,130206
2163,130207
2164,130208
2165,130209
2166,130210
2167,130211
2168,130212
2169,130213
2170,130214
2171,479282
2172,479287
2173,437953
2174,437954
2175,155528
2176,155580
2177,322425
2178,322426
2179,322427
2180,322428
2181,322429
2182,322430
2183,322431
2184,322432
2185,521865
2186,521866
2187,48926
2188,48974
2189,651657
2190,651660
2191,488559
2192,488562
2193,220056
2194,220068
2195,509091
2196,509095
2197,516407
2198,516408
2199,498883
2200,498885
2201,350894
2202,350895
2203,319099
2204,319101
2205,411005
2206,411006
2207,411007
2208,411008
2209,411009
2210,411011
2211,411012
2212,411013
2213,411014
2214,411015
2215,411016
2216,411017
2217,411018
2218,411019
2219,411020
2220,411021
2221,411022
2222,411023
2223,411024
2224,411025
2225,411026
2226,411027
2227,411028
2228,411029
2229,411030
2230,411031
2231,411032
2232,411033
2233,411034
2234,411035
2235,411036
2236,411037
2237,411038
2238,411039
